시설명,노선명,유형,노선방향,lat,lon
남구미IC,경부선,IC,,36.068138,128.370149
구미IC,경부선,IC,,36.107744,128.362376
김천IC,경부선,IC,,36.13379,128.094609
추풍령IC,경부선,IC,,36.200379,128.00169
황간IC,경부선,IC,,36.220617,127.908085
영동IC,경부선,IC,,36.270274,127.834783
금강IC,경부선,IC,,36.279278,127.673348
옥천IC,경부선,IC,,36.317789,127.559532
대전IC,경부선,IC,,36.364235,127.452377
신탄진IC,경부선,IC,,36.4408,127.420961
남청주IC,경부선,IC,,36.534315,127.432157
청주IC,경부선,IC,,36.626784,127.385014
목천IC,경부선,IC,,36.75879,127.219247
천안IC,경부선,IC,,36.826284,127.171309
안성IC,경부선,IC,,36.994219,127.156069
오산IC,경부선,IC,,37.142691,127.086371
기흥IC,경부선,IC,,37.223075,127.102657
수원신갈IC,경부선,IC,,37.266266,127.105614
대왕판교IC,경부선,IC,,37.409462,127.091972
양재IC,경부선,IC,,37.463229,127.042014
판교IC,경부선,IC,,37.397562,127.101818
김천IC,경부선,IC,,36.135315,128.09453
추풍령IC,경부선,IC,,36.199818,128.004895
기흥동탄IC,경부선,IC,,37.216953,127.099472
동김천IC,경부선,IC,,36.134976,128.17756
북천안IC,경부선,IC,,36.897397,127.191351
옥산하이패스IC,경부선,IC,,36.656813,127.372626
북구미IC,경부선,IC,,36.143558,128.302709
남사진위IC,경부선,IC,,37.106594,127.116617
줄포IC,서해안선,IC,,35.595948,126.697816
부안IC,서해안선,IC,,35.731603,126.775052
서김제IC,서해안선,IC,,35.835575,126.840665
동군산IC,서해안선,IC,,35.94703,126.835651
군산IC,서해안선,IC,,36.01061,126.800791
서천IC,서해안선,IC,,36.099759,126.690184
춘장대IC,서해안선,IC,,36.169227,126.601782
대천IC,서해안선,IC,,36.333293,126.576103
광천IC,서해안선,IC,,36.496876,126.586451
홍성IC,서해안선,IC,,36.592036,126.561726
해미IC,서해안선,IC,,36.713818,126.564163
서산IC,서해안선,IC,,36.80818,126.573123
당진IC,서해안선,IC,,36.893758,126.710095
송악IC,서해안선,IC,,36.931971,126.777242
서평택IC,서해안선,IC,,37.000178,126.870408
발안IC,서해안선,IC,,37.124645,126.883322
비봉IC,서해안선,IC,,37.242385,126.883347
매송IC,서해안선,IC,,37.279274,126.899805
목감IC,서해안선,IC,,37.396386,126.873127
금천IC,서해안선,IC,,37.46085,126.890704
광명역IC,서해안선,IC,,37.404257,126.881624
무창포IC,서해안선,IC,,36.238946,126.563063
어연IC,평택화성선,IC,,37.057822,126.989983
정남IC,평택화성선,IC,,37.184785,126.972172
향남IC,평택화성선,IC,,37.129666,127.002153
봉담IC,평택화성선,IC,,37.229025,126.957968
오성IC,평택화성선,IC,,37.016436,126.987115
완주IC,완주장수선,IC,,35.899702,127.151484
소양IC,완주장수선,IC,,35.865398,127.236341
진안IC,완주장수선,IC,,35.773136,127.443773
소양IC,완주장수선,IC,,35.86447,127.23628
금산사IC,"논산천안선,호남선",IC,,35.73676,126.98913
김제IC,"논산천안선,호남선",IC,,35.7758,127.00253
서전주IC,"논산천안선,호남선",IC,,35.82747,127.03396
전주IC,"논산천안선,호남선",IC,,35.87845,127.05534
삼례IC,"논산천안선,호남선",IC,,35.92488,127.0789
익산IC,"논산천안선,호남선",IC,,35.991932,127.115648
