시설명,노선명,유형,노선방향,lat,lon
비룡JCT,경부선,JC,,36.346318,127.48177
회덕JCT,경부선,JC,,36.405272,127.421007
남이JCT,경부선,JC,,36.598011,127.422204
천안JCT,경부선,JC,,36.769703,127.182262
안성JCT,경부선,JC,,37.038514,127.140366
신갈JCT,경부선,JC,,37.291807,127.10478
판교JCT,경부선,JC,,37.40587,127.094529
금토JCT,경부선,JC,,37.41547,127.085428
동탄JCT,경부선,JC,,37.17782,127.09599
서평택JCT,서해안선,JC,,37.054984,126.890732
팔곡JCT,서해안선,JC,,37.309577,126.895175
안산JCT,서해안선,JC,,37.344985,126.86187
조남JCT,서해안선,JC,,37.369791,126.870582
일직JCT,서해안선,JC,,37.421973,126.895855
당진JCJCT,서해안선,JC,,36.85111,126.61852
동서천JCT,서해안선,JC,,36.058319,126.77249
서오산JCT,평택화성선,JC,,37.176902,126.99999
평택JCT,평택화성선,JC,,37.033277,126.970531
익산JCT,완주장수선,JC,,35.942949,127.08967
논산JCT,"논산천안선,호남선",JC,,36.08186,127.10261
익산JCT,"논산천안선,호남선",JC,,35.942783,127.093355
완주JCT,순천완주선,JC,,35.884309,127.173058
상주JCT,서산영덕선(상주영덕선),JC,,36.374984,128.275147
안동JCT,서산영덕선(상주영덕선),JC,,36.434393,128.623547
청주JCT,서산영덕선(청주상주선),JC,,36.565818,127.431781
낙동JCT,서산영덕선(청주상주선),JC,,36.366305,128.241633
당진JCJCT,서산영덕선(당진대전선),JC,,36.85056,126.621419
유성JCT,서산영덕선(당진대전선),JC,,36.39022,127.342098
공주JCT,서산영덕선(당진대전선),JC,,36.486641,127.094996
서공주JCT,서산영덕선(당진대전선),JC,,36.48562,127.06244
천안JCTJCT,당진청주선,JC,,36.768313,127.174464
대소JCT,"통영대전선,중부선",JC,,36.940909,127.47294
마장JCT,"통영대전선,중부선",JC,,37.258652,127.412277
하남JCT,"통영대전선,중부선",JC,,37.530407,127.197131
호법JCT,"통영대전선,중부선",JC,,37.236563,127.428677
산곡JCT,"통영대전선,중부선",JC,,37.480623,127.243749
경기광주JCT,"통영대전선,중부선",JC,,37.374451,127.317641
서대전JCT,"통영대전선,중부선",JC,,36.294709,127.315156
마장JCT,제2중부선,JC,,37.25846,127.411239
산곡JCT,제2중부선,JC,,37.48055,127.24314
서평택JCT,평택제천선,JC,,37.054269,126.88857
안성JCT,평택제천선,JC,,37.035979,127.13892
평택JCT,평택제천선,JC,,37.0315,126.97157
대소JCT,평택제천선,JC,,36.943056,127.47378
노은JCT,평택제천선,JC,,37.036108,127.804598
제천JCT,평택제천선,JC,,37.082353,128.173935
충주JCT,중부내륙선,JC,,37.040326,127.740369
여주JCT,중부내륙선,JC,,37.233362,127.591773
김천JCT,중부내륙선,JC,,36.16062,128.268615
월곶JCT,영동선,JC,,37.389325,126.75291
서창JCT,영동선,JC,,37.432539,126.7384
안산JCT,영동선,JC,,37.34404,126.86046
신갈JCT,영동선,JC,,37.29,127.10368
호법JCT,영동선,JC,,37.23581,127.42672
여주JCT,영동선,JC,,37.23206,127.59021
둔대JCT,영동선,JC,,37.32313,126.90557
서창JCT,영동선,JC,,37.434495,126.740909
군자JCT,영동선,JC,,37.363517,126.769679
만종JCT,중앙선,JC,,37.364098,127.905466
춘천JCT,서울양양선,JC,,37.751733,127.790557
강릉JCT,동해선,JC,,37.773081,128.835659
양양JCT,동해선,JC,,38.067097,128.602558
판교JCT,수도권제1순환선,JC,,37.40513,127.097409
하남JCT,수도권제1순환선,JC,,37.532,127.19577
학의JCT,수도권제1순환선,JC,,37.386199,127.002246
조남JCT,수도권제1순환선,JC,,37.36879,126.86898
안현JCT,수도권제1순환선,JC,,37.436724,126.819273
서운JCT,수도권제1순환선,JC,,37.527571,126.756453
노오지JCT,수도권제1순환선,JC,,37.571252,126.754246
도리분기점JCT,수도권제1순환선,JC,,37.395742,126.849803
서창JCT,제2경인선(인천안양),JC,,37.43291,126.73851
안현JCT,제2경인선(인천안양),JC,,37.437329,126.81658
일직JCT,제2경인선(인천안양),JC,,37.423809,126.89492
공항신도시JCT,제2경인선(인천안양),JC,,37.485697,126.491849
학익JCT,제2경인선(인천안양),JC,,37.437886,126.65046
서운JCT,경인선,JC,,37.52411,126.7574
서공주JCT,서천공주선,JC,,36.484395,127.064059
동서천JCTJCT,서천공주선,JC,,36.060117,126.774982
서대전JCT,호남선의 지선,JC,,36.295179,127.316842
논산JCT,호남선의 지선,JC,,36.081785,127.103715
산내JCT,대전남부순환선,JC,,36.282052,127.45323
산내JCT,대전남부순환선,JC,,36.28207,127.44862
동탄JCT,수도권제2순환선,JC,,37.178225,127.098181
