시설명,노선명,유형,노선방향,lat,lon
평창 휴게소,영동선,휴게소,상행,37.610876,128.463363
평택 휴게소,평택제천선,휴게소,양방향,37.045585,126.943774
하남드림 휴게소,중부선,휴게소,양방향,37.530281,127.206084
행담도 휴게소,서해안선,휴게소,양방향,36.944819,126.807525
홍성 휴게소,서해안선,휴게소,하행,36.552584,126.579514
홍성 휴게소,서해안선,휴게소,상행,36.5524301,126.5818701
홍천 휴게소,서울양양선,휴게소,상행,37.758898,128.0065801
홍천 휴게소,서울양양선,휴게소,하행,37.757369,128.003099
홍천강 휴게소,중앙선,휴게소,상행,37.712386,127.827719
화서 휴게소,당진영덕선,휴게소,상행,36.444053,127.922637
화성 휴게소,서해안선,휴게소,하행,37.143612,126.8790801
화성 휴게소,서해안선,휴게소,상행,37.143497,126.881289
황간 휴게소,경부선,휴게소,하행,36.248899,127.8526701
황간 휴게소,경부선,휴게소,상행,36.249437,127.854835
횡성 휴게소,영동선,휴게소,하행,37.462755,128.133969
횡성 휴게소,영동선,휴게소,상행,37.464983,128.135449
남한강 휴게소,중부내륙선,휴게소,양방향,37.482835,127.466735
처인 휴게소,세종포천선,휴게소,양방향,37.3418541,127.218541
강릉 휴게소,영동선,휴게소,하행,37.758206,128.806648
강릉 휴게소,영동선,휴게소,상행,37.760275,128.8053601
공주 휴게소,당진영덕선,휴게소,하행,36.498679,127.164921
공주 휴게소,당진영덕선,휴게소,상행,36.496946,127.1666701
괴산 휴게소,중부내륙선,휴게소,상행,36.831894,127.960141
괴산 휴게소,중부내륙선,휴게소,하행,36.831456,127.957845
구리 휴게소,수도권제1순환선,휴게소,하행,37.628023,127.139237
구정 휴게소,동해선,휴게소,하행,37.722214,128.8511601
구정 휴게소,동해선,휴게소,상행,37.723012,128.854228
군산 휴게소,서해안선,휴게소,하행,35.980591,126.828971
군산 휴게소,서해안선,휴게소,상행,36.018831,126.797698
금강 휴게소,경부선,휴게소,하행,36.279148,127.672231
금산인삼랜드 휴게소,대전통영선,휴게소,상행,36.154689,127.497681
금산인삼랜드 휴게소,대전통영선,휴게소,하행,36.152874,127.495954
금왕 휴게소,평택제천선,휴게소,하행,36.9694501,127.590845
금왕 휴게소,평택제천선,휴게소,상행,36.970655,127.589499
기흥 휴게소,경부선,휴게소,하행,37.235125,127.104595
김천 휴게소,경부선,휴게소,하행,36.129252,128.164782
김천 휴게소,경부선,휴게소,상행,36.131107,128.164009
내린천 휴게소,서울양양선,휴게소,양방향,37.916535,128.286377
단양팔경 휴게소,중앙선,휴게소,상행,36.995459,128.287616
단양팔경 휴게소,중앙선,휴게소,하행,36.942903,128.322142
대천 휴게소,서해안선,휴게소,하행,36.372995,126.555684
대천 휴게소,서해안선,휴게소,상행,36.374457,126.558327
덕유산 휴게소,대전통영선,휴게소,상행,35.816481,127.646149
덕평 휴게소,영동선,휴게소,양방향,37.241456,127.390189
동해 휴게소,동해선,휴게소,하행,37.601776,129.073636
마장 휴게소,중부선,휴게소,양방향,37.263849,127.407043
망향 휴게소,경부선,휴게소,하행,36.8556501,127.180929
매송 휴게소,서해안선,휴게소,하행,37.265084,126.888544
매송 휴게소,서해안선,휴게소,상행,37.264769,126.891795
문경 휴게소,중부내륙선,휴게소,상행,36.621068,128.1523901
