시설명,노선명,유형,노선방향,lat,lon
판교 TG,경부선,TG,,37.396399,127.1032
대왕판교 TG,경부선,TG,,37.408887,127.093456
서울 TG,경부선,TG,,37.365046,127.102077
수원신갈 TG,경부선,TG,,37.266835,127.102395
기흥 TG,경부선,TG,,37.222267,127.102448
오산 TG,경부선,TG,,37.143445,127.08013
안성 TG,경부선,TG,,36.995586,127.15041
천안 TG,경부선,TG,,36.826143,127.166314
목천 TG,경부선,TG,,36.768049,127.230608
청주 TG,경부선,TG,,36.625153,127.37979
남청주 TG,경부선,TG,,36.534429,127.423946
신탄진 TG,경부선,TG,,36.439014,127.422199
대전 TG,경부선,TG,,36.361324,127.448327
옥천 TG,경부선,TG,,36.309934,127.568131
금강 TG,경부선,TG,,36.278719,127.668908
영동 TG,경부선,TG,,36.270309,127.829721
황간 TG,경부선,TG,,36.223027,127.901978
추풍령 TG,경부선,TG,,36.198551,128.004231
김천 TG,경부선,TG,,36.130898,128.094079
구미 TG,경부선,TG,,36.113469,128.360342
남구미 TG,경부선,TG,,36.072644,128.371779
동김천 TG,경부선,TG,,36.139931,128.175588
금강휴게소 TG,경부선,TG,,36.27889682,127.6691111
북천안 TG,경부선,TG,,36.898911,127.183964
기흥동탄 TG,경부선,TG,,37.217456,127.091878
옥산 TG,경부선,TG,,36.65585068,127.3730173
남사진위 TG,경부선,TG,,37.10782,127.119579
동김천(테스트) TG,경부선,TG,,36.14004557,128.1752335
군산 TG,서해안선,TG,,36.002506,126.790774
동군산 TG,서해안선,TG,,35.945164,126.829418
서천 TG,서해안선,TG,,36.095569,126.689046
서서울 TG,서해안선,TG,,37.355446,126.864689
홍성 TG,서해안선,TG,,36.595656,126.562018
광천 TG,서해안선,TG,,36.498494,126.593303
대천 TG,서해안선,TG,,36.332006,126.570493
춘장대 TG,서해안선,TG,,36.168064,126.605476
매송 TG,서해안선,TG,,37.281755,126.890682
비봉 TG,서해안선,TG,,37.244711,126.886648
발안 TG,서해안선,TG,,37.12135,126.886818
서평택 TG,서해안선,TG,,36.99411,126.863858
송악 TG,서해안선,TG,,36.934057,126.785895
당진 TG,서해안선,TG,,36.895637,126.702448
서산 TG,서해안선,TG,,36.809913,126.569653
해미 TG,서해안선,TG,,36.7086,126.55674
서김제 TG,서해안선,TG,,35.83153,126.84211
부안 TG,서해안선,TG,,35.726985,126.773477
줄포 TG,서해안선,TG,,35.598477,126.702323
무창포 TG,서해안선,TG,,36.241003,126.56535
흥도 TG,평택화성선,TG,,37.61690172,126.8580727
흥도IC TG,평택화성선,TG,,37.61690172,126.8580727
향남 TG,평택화성선,TG,,37.126638,126.995275
북평택 TG,평택화성선,TG,,37.066343,126.991481
사리현 TG,평택화성선,TG,,37.69081106,126.8378072
북고양설문 TG,평택화성선,TG,,37.72056285,126.7923286
금촌 TG,평택화성선,TG,,37.75174934,126.7884821
월롱 TG,평택화성선,TG,,37.79274568,126.7819597
산단 TG,평택화성선,TG,,37.82559981,126.779446
포승 TG,평택화성선,TG,,36.94662717,126.8847305
안중 TG,평택화성선,TG,,36.93379085,126.9262904
평택호 TG,평택화성선,TG,,36.9234885,126.9191253
영인 TG,평택화성선,TG,,36.87575743,126.9261331
예산추사고택 TG,평택화성선,TG,,36.75498062,126.8179414
예산예당호 TG,평택화성선,TG,,36.62874626,126.7845356
청양 TG,평택화성선,TG,,36.43910074,126.7875348
양감 TG,평택화성선,TG,,37.10109441,126.9920411
부여구룡 TG,평택화성선,TG,,36.25257642,126.8389525
진안 TG,새만금포항선,TG,,35.769453,127.438555
논산 TG,호남선A,TG,,36.124035,127.132461
익산 TG,호남선A,TG,,35.989533,127.110519
삼례 TG,호남선A,TG,,35.923178,127.081288
전주 TG,호남선A,TG,,35.877441,127.059859
서전주 TG,호남선A,TG,,35.825618,127.038244
김제 TG,호남선A,TG,,35.77885,127.002956
금산사 TG,호남선A,TG,,35.738621,126.986739
남천안 TG,호남선A,TG,,36.75156886,127.1680529
정안 TG,호남선A,TG,,36.62182949,127.1224095
남공주 TG,호남선A,TG,,36.4235277,127.0864594
탄천 TG,호남선A,TG,,36.3011258,127.070243
서논산 TG,호남선A,TG,,36.2211532,127.0579594
연무 TG,호남선A,TG,,36.12361573,127.1324865
남풍세 TG,호남선A,TG,,36.71997842,127.1408285
