시설명,노선명,유형,노선방향,lat,lon
판교 TG,경부선,TG,,37.396399,127.1032
대왕판교 TG,경부선,TG,,37.408887,127.093456
서울 TG,경부선,TG,,37.365046,127.102077
수원신갈 TG,경부선,TG,,37.266835,127.102395
기흥 TG,경부선,TG,,37.222267,127.102448
오산 TG,경부선,TG,,37.143445,127.08013
안성 TG,경부선,TG,,36.995586,127.15041
천안 TG,경부선,TG,,36.826143,127.166314
목천 TG,경부선,TG,,36.768049,127.230608
청주 TG,경부선,TG,,36.625153,127.37979
남청주 TG,경부선,TG,,36.534429,127.423946
신탄진 TG,경부선,TG,,36.439014,127.422199
대전 TG,경부선,TG,,36.361324,127.448327
옥천 TG,경부선,TG,,36.309934,127.568131
금강 TG,경부선,TG,,36.278719,127.668908
영동 TG,경부선,TG,,36.270309,127.829721
황간 TG,경부선,TG,,36.223027,127.901978
추풍령 TG,경부선,TG,,36.198551,128.004231
김천 TG,경부선,TG,,36.130898,128.094079
구미 TG,경부선,TG,,36.113469,128.360342
남구미 TG,경부선,TG,,36.072644,128.371779
왜관 TG,경부선,TG,,35.979206,128.429108
서대구 TG,경부선,TG,,35.884362,128.525315
북대구 TG,경부선,TG,,35.911046,128.584088
동김천 TG,경부선,TG,,36.139931,128.175588
경산 TG,경부선,TG,,35.874997,128.793257
영천 TG,경부선,TG,,35.925306,128.951405
서경주 TG,경부선,TG,,35.840712,129.082896
경주 TG,경부선,TG,,35.809826,129.18864
통도사 TG,경부선,TG,,35.50268,129.09513
양산 TG,경부선,TG,,35.376937,129.048465
서울산 TG,경부선,TG,,35.556094,129.124318
부산 TG,경부선,TG,,35.278796,129.10517
금강휴게소 TG,경부선,TG,,36.2788968223058,127.669111104134
북천안 TG,경부선,TG,,36.898911,127.183964
통도사휴게소 TG,경부선,TG,,35.4887677425468,129.090204375274
칠곡물류 TG,경부선,TG,,35.953191,128.451318
기흥동탄 TG,경부선,TG,,37.217456,127.091878
노포 TG,경부선,TG,,35.285843,129.100411
활천 TG,경부선,TG,,35.709982,129.193159
옥산 TG,경부선,TG,,36.6558506800773,127.373017282498
남사진위 TG,경부선,TG,,37.10782,127.119579
동김천(테스트) TG,경부선,TG,,36.1400455717463,128.175233517549
서영암(개) TG,남해선A,TG,,34.737061480759,126.570934677159
순천만 TG,남해선A,TG,,34.898387,127.485427
내서 TG,남해선A,TG,,35.256546,128.514329
군북 TG,남해선A,TG,,35.283467,128.32014
장지 TG,남해선A,TG,,35.294199,128.340854
함안 TG,남해선A,TG,,35.291579,128.393002
동창원 TG,남해선A,TG,,35.283459,128.7023
진례 TG,남해선A,TG,,35.267175,128.75906
서김해 TG,남해선A,TG,,35.217153,128.844147
동김해 TG,남해선A,TG,,35.22397,128.899746
북부산 TG,남해선A,TG,,35.222065,128.941444
서순천 TG,남해선A,TG,,35.000545,127.48253
순천 TG,남해선A,TG,,34.983651,127.51746
광양 TG,남해선A,TG,,34.969927,127.598808
동광양 TG,남해선A,TG,,34.959629,127.659025
옥곡 TG,남해선A,TG,,34.981606,127.712402
진월 TG,남해선A,TG,,34.975884,127.74517
하동 TG,남해선A,TG,,34.999079,127.812679
진교 TG,남해선A,TG,,35.038776,127.904259
곤양 TG,남해선A,TG,,35.054553,127.963122
축동 TG,남해선A,TG,,35.08877,128.041206
사천 TG,남해선A,TG,,35.113536,128.089008
진주 TG,남해선A,TG,,35.158864,128.122061
문산 TG,남해선A,TG,,35.174658,128.158181
북창원 TG,남해선A,TG,,35.293117,128.608599
진성 TG,남해선A,TG,,35.189022,128.224776
지수 TG,남해선A,TG,,35.228224,128.267285
서영암 TG,남해선A,TG,,34.737619,126.570872
강진무위사 TG,남해선A,TG,,34.693356,126.715046
장흥 TG,남해선A,TG,,34.702834,126.904332
보성 TG,남해선A,TG,,34.812134,127.102792
벌교 TG,남해선A,TG,,34.837264,127.300562
고흥 TG,남해선A,TG,,34.825889,127.343587
남순천 TG,남해선A,TG,,34.883591,127.452526
함양 TG,광주대구선,TG,,35.529359,127.751004
동고령 TG,광주대구선,TG,,35.753059,128.365043
고령 TG,광주대구선,TG,,35.69733,128.253581
해인사 TG,광주대구선,TG,,35.711883,128.174277
남원 TG,광주대구선,TG,,35.427329,127.398799
순창 TG,광주대구선,TG,,35.36725,127.136483
